length_cm,year,pond,station,month
17,2025,NP,NP5,1
20,2004,PJ,PJ1,3
17.2,2025,PP,PP3,1
18.6,2025,PP,PP1,1
13.6,2021,PP,PP1,1
15,2025,PP,PP1,1
16.3,2023,NP,NP5,1
14.5,2021,PP,PP3,3
16,2021,PP,PP1,1
15.8,2023,NP,NP3,1
19.2,2024,NP,NP1,1
16.2,2023,NP,NP5,1
16.1,2024,PP,PP1,1
17.4,2023,NP,NP1,1
15,2025,PP,PP1,1
19.7,2020,NP,NP1,2
18,2024,NP,NP1,12
19.6,2023,NP,NP5,2
17,2000,PJ,PJ2,2
23,2013,NP,NP2,2
16.2,2023,NP,NP3,1
18,2003,PJ,PJ1,4
15.2,2023,NP,NP3,1
16,2022,PP,PP3,1
18.1,2023,NP,NP1,1
14.8,2021,NP,NP1,4
17,2021,PP,PP3,1
16,2004,PJ,PJ1,3
15.9,2022,PP,PP1,1
15,2015,PP,PP1,4
16.5,2009,PJ,PJ6,4
16.4,2024,PP,PP6,1
18,2024,PP,PP3,1
17.4,2021,PP,PP3,1
16,2005,PJ,PJ1,1
18.7,2023,NP,NP1,2
15.8,2021,PP,PP1,1
16.8,2025,PP,PP3,1
16.4,2024,PP,PP1,1
16.5,2025,PP,PP1,1
15,2024,PP,PP6,1
20,2011,PJ,PJ3,4
15.7,2024,PP,PP6,1
17,2009,PJ,PJ6,4
16.3,2024,NP,NP5,12
14.8,2012,NP,NP1,1
19,2015,PP,PP1,4
16,2025,PP,PP1,12
14.9,2025,PP,PP1,1
18,2005,PJ,PJ2,4
15.5,2009,PJ,PJ3,4
17,2005,PJ,PJ6,2
22,2009,PJ,PJ3,4
15.4,2024,PP,PP1,1
16.1,2021,PP,PP3,2
17,2009,PJ,PJ3,4
16,2006,PJ,PJ3,4
14.2,2021,PP,PP3,2
14.7,2024,PP,PP1,1
16,2012,NP,NP1,2
15.1,2023,NP,NP5,1
14,2025,PP,PP3,1
19,2015,NP,NP2,4
18,2024,PP,PP3,12
16,2015,PP,PP1,3
15.6,2024,PP,PP3,2
17.6,2025,PP,PP3,1
19,2000,PP,PP1,3
14.8,2022,PP,PP1,2
19.3,2024,PP,PP3,12
17.6,2025,PP,PP3,1
18,2012,PP,PP1,3
22,2009,PJ,PJ2,4
17.1,2022,PP,PP3,2
16,2015,PP,PP1,3
16.4,2024,NP,NP5,12
15,2022,PP,PP1,2
19,2012,NP,NP2,3
14.9,2024,PP,PP1,12
17.9,2024,PP,PP3,2
14,2018,PP,PP1,3
17.8,2021,NP,NP1,3
18,1999,PJ,PJ4,3
15.4,2025,PP,PP1,1
15.7,2021,PP,PP1,1
21.4,2024,NP,NP1,1
14.9,2024,PP,PP1,12
15,2021,PP,PP1,1
16,2016,PP,PP1,4
16.6,2025,PP,PP1,1
16.5,2015,PP,PP1,3
14.8,2024,NP,NP5,12
17.7,2021,PP,PP1,3
15.1,2022,PP,PP3,2
21,2015,NP,NP2,4
16,2022,PP,PP3,2
17.4,2022,PP,PP1,2
19,2012,NP,NP2,3
18,2023,NP,NP5,1
15,2025,PP,PP1,1
16,2015,NP,NP2,4
16.2,2024,PP,PP3,12
14.8,2024,PP,PP3,2
19,2025,PP,PP1,1
15.1,2024,PP,PP6,1
17,2002,PJ,PJ3,3
20,2015,PP,PP1,4
23,2011,PJ,PJ3,4
14.8,2021,PP,PP1,1
18,2009,PJ,PJ6,4
16.6,2024,PP,PP3,1
17,2025,PP,PP3,1
19.6,2024,PP,PP3,1
15,2012,NP,NP2,2
17,2004,PJ,PJ1,4
18,2009,PJ,PJ6,4
15.5,2009,PJ,PJ6,4
19.5,2025,PP,PP1,1
16.6,2024,PP,PP6,1
14.5,2015,NP,NP2,3
16,2025,PP,PP1,1
16.1,2025,PP,PP3,1
19.5,2021,NP,NP5,3
16.5,2024,NP,NP1,12
15,2005,PJ,PJ1,4
17.2,2023,NP,NP1,2
14.2,2024,PP,PP1,1
22.9,2023,NP,NP7,4
17,2021,NP,NP1,3
17.5,2009,PJ,PJ6,4
17.2,2021,PP,PP3,1
20,2015,PP,PP1,3
14.5,2022,PP,PP1,1
26.5,2013,NP,NP2,1
17,2015,PP,PP1,4
13.7,2025,PP,PP3,1
21.3,2024,PP,PP3,1
19,2025,PP,PP1,12
15.6,2021,PP,PP1,2
18.9,2021,NP,NP1,4
15.7,2025,NP,NP1,1
14,2009,PJ,PJ3,4
17.7,2024,PP,PP1,1
15,2005,PJ,PJ2,4
14.1,2022,PP,PP1,2
16.5,2024,PP,PP3,12
13.2,2025,PP,PP1,1
15.1,2024,PP,PP3,1
17,2025,PP,PP3,1
19.6,2021,NP,NP3,4
18.4,2024,PP,PP1,1
18.5,2009,PJ,PJ6,4
18.4,2023,NP,NP5,1
17.3,2025,PP,PP1,1
19.1,2024,PP,PP3,1
16,2018,PP,PP1,3
16,2025,NP,NP1,1
16.8,2025,PP,PP1,1
15,2018,PP,PP1,3
16.5,2023,NP,NP1,2
18,2003,PJ,PJ5,4
14,2020,NP,NP1,2
17.7,2024,PP,PP3,1
16,2001,PJ,PJ1,2
15.5,2024,PP,PP3,12
16.8,2025,PP,PP1,1
17,2005,PJ,PJ2,4
17.4,2021,PP,PP1,2
17.3,2024,PP,PP6,1
16.7,2025,PP,PP3,1
15.9,2025,PP,PP1,1
18,2015,NP,NP1,4
18.9,2024,PP,PP1,12
15.1,2021,PP,PP3,1
17.5,2025,PP,PP3,1
17,2015,PP,PP1,4
17,2005,PJ,PJ1,4
18.8,2023,NP,NP3,2
19.5,2009,PJ,PJ6,4
17.8,2024,PP,PP3,2
16.9,2024,NP,NP5,1
18.2,2025,PP,PP3,1
19.2,2024,PP,PP3,1
14.5,2015,NP,NP2,3
16.8,2024,PP,PP3,12
14.8,2022,PP,PP1,1
16.1,2025,PP,PP1,1
15,2015,NP,NP2,4
20.2,2024,NP,NP3,12
17.1,2024,PP,PP3,12
18.7,2023,NP,NP3,2
16,2024,PP,PP3,12
16.3,2024,PP,PP3,1
19.3,2024,PP,PP6,1
16.7,2024,PP,PP3,12
17,2024,PP,PP1,12
16.5,2023,NP,NP1,1
17.7,2023,NP,NP1,1
16,2015,PP,PP1,4
22,2002,PJ,PJ2,2
23,2010,PJ,PJ6,4
13.4,2025,PP,PP3,1
19,2005,PJ,PJ2,4
15,2015,NP,NP2,4
16.8,2025,PP,PP3,1
23.5,2015,NP,NP2,3
20,2000,PP,PP4,3
17.7,2021,NP,NP3,4
19.7,2024,PP,PP3,2
15.1,2025,PP,PP1,1
25.5,2012,NP,NP1,2
19,2015,PP,PP1,3
14.4,2024,PP,PP3,1
13.5,2021,PP,PP3,1
15,2015,NP,NP2,3
15,2015,NP,NP2,3
17.4,2021,NP,NP1,3
15.6,2022,NP,NP3,1
19,1999,PJ,PJ2,1
26,2013,NP,NP1,1
17.2,2025,PP,PP1,1
18,2015,NP,NP1,4
19,2005,PJ,PJ1,1
13.6,2024,PP,PP1,1
15,2015,NP,NP2,4
17.4,2025,PP,PP1,1
17.5,2025,PP,PP1,1
18.2,2025,PP,PP3,1
15,2015,NP,NP1,4
16.8,2023,NP,NP7,3
14.3,2021,PP,PP3,1
15,2015,PP,PP1,3
17.9,2024,PP,PP6,1
14.2,2024,NP,NP3,12
18.1,2024,PP,PP3,1
17,2015,NP,NP2,4
15,2018,PP,PP1,3
15.1,2024,NP,NP5,1
15.6,2025,PP,PP3,1
15,2000,PP,PP1,3
13.5,2025,PP,PP3,1
20,1999,PP,PP1,3
18,2015,PP,PP1,4
17.1,2024,PP,PP3,2
20,2009,PJ,PJ6,4
13.4,2024,PP,PP3,1
13.3,2024,PP,PP3,1
20,2012,NP,NP1,2
19,2024,PP,PP3,12
18,2010,PJ,PJ6,4
15,2018,PP,PP1,3
15,2015,NP,NP2,4
16.4,2023,NP,NP5,1
16,2006,PJ,PJ3,4
17,2025,PP,PP1,1
14.5,2019,NP,NP1,4
16,2020,NP,NP1,2
19.1,2025,PP,PP1,1
15.6,2025,PP,PP1,1
16.3,2022,NP,NP3,1
16.2,2025,PP,PP1,1
20,2023,NP,NP3,2
16.3,2024,PP,PP6,1
15.9,2025,PP,PP3,1
21.2,2024,PP,PP3,12
12.8,2025,PP,PP3,1
16.8,2024,PP,PP3,12
17,1999,PP,PP1,3
18,2000,PP,PP1,3
16,2012,NP,NP2,3
17.5,2025,PP,PP1,1
19.6,2023,NP,NP3,1
17.8,2023,NP,NP1,1
14.6,2021,PP,PP3,1
16,2001,PJ,PJ2,2
16,2025,PP,PP1,1
13.3,2025,PP,PP3,1
15.5,2023,NP,NP3,2
18.9,2023,NP,NP3,1
19,2024,PP,PP3,1
16.3,2024,PP,PP6,1
17,2015,NP,NP2,4
16,2015,NP,NP1,4
16,2024,PP,PP3,12
19,2010,PJ,PJ6,4
14.8,2022,NP,NP3,1
17.3,2025,PP,PP3,1
14,2015,NP,NP2,4
16.1,2025,PP,PP3,1
17,2010,PJ,PJ6,4
18,2024,PP,PP3,1
16,1999,PP,PP3,3
15,2025,PP,PP1,1
17.6,2025,NP,NP7,1
15,2018,PP,PP1,3
19.9,2025,PP,PP1,1
16,2025,PP,PP1,1
21,1999,PJ,PJ2,2
14,2025,PP,PP1,1
17.7,2025,PP,PP3,1
14.7,2024,PP,PP3,2
16.2,2024,PP,PP6,1
17.6,2025,PP,PP3,1
15,2004,PJ,PJ2,4
14.9,2024,PP,PP3,12
15.6,2025,PP,PP3,1
15.1,2024,PP,PP3,12
14,2005,PJ,PJ2,4
16,2015,NP,NP2,4
14.5,2024,NP,NP3,12
14,2000,PJ,PJ2,2
20,2000,PP,PP3,3
15.5,2024,PP,PP3,1
15,2015,PP,PP1,3
15.4,2025,PP,PP1,1
23,1999,PJ,PJ2,1
19,2003,PJ,PJ5,4
14,2004,PJ,PJ1,4
16,2015,PP,PP1,3
16.6,2023,NP,NP1,1
17,2018,PP,PP1,3
21,2000,PP,PP3,3
16,2015,NP,NP2,4
17,2012,NP,NP2,2
18,1999,PJ,PJ2,1
15,2023,NP,NP3,1
15,1999,PP,PP3,3
16,2015,PP,PP1,4
17.9,2024,PP,PP3,12
17.2,2025,PP,PP3,1
15,2025,PP,PP1,1
15.5,2024,PP,PP3,1
11.8,2025,PP,PP3,1
13,2025,PP,PP1,1
15.2,2024,PP,PP3,1
15.8,2025,NP,NP1,12
17,2025,PP,PP3,1
14.3,2025,PP,PP1,1
15.9,2023,NP,NP5,1
16.7,2025,PP,PP3,1
16.6,2025,PP,PP1,1
16.2,2025,PP,PP3,1
14.3,2023,NP,NP3,1
18,1999,PP,PP3,3
18,2018,PP,PP1,3
16.2,2023,NP,NP5,1
18.6,2024,NP,NP1,12
16.4,2023,NP,NP3,1
16,2024,NP,NP5,1
14,2000,PP,PP3,3
16,2004,PJ,PJ1,4
18.8,2025,PP,PP1,1
14,2015,NP,NP2,4
17.3,2024,PP,PP3,1
16,2015,PP,PP1,3
18,1999,PJ,PJ4,3
18,2024,PP,PP3,1
19,2015,NP,NP1,4
24,2000,PJ,PJ1,2
17,2000,PJ,PJ2,2
16,2015,NP,NP2,4
17.2,2024,PP,PP3,12
17.1,2025,PP,PP1,1
16,2015,NP,NP2,4
17,2018,PP,PP1,3
12.6,2024,NP,NP1,12
17.1,2025,PP,PP3,1
16,2004,PJ,PJ1,4
18,2005,PJ,PJ2,4
15.3,2024,PP,PP3,1
16,2005,PJ,PJ2,3
16.3,2025,PP,PP1,1
17,2000,PP,PP3,3
17,2015,NP,NP2,4
14,2024,PP,PP3,12
16,1999,PP,PP3,3
14.1,2024,PP,PP3,1
16.5,2024,PP,PP3,1
15,2025,NP,NP5,12
16.1,2024,NP,NP5,1
18,2000,PP,PP1,3
17.2,2025,PP,PP3,1
16,2025,PP,PP1,1
15.1,2025,PP,PP1,1
16.3,2025,NP,NP1,12
16,2015,NP,NP1,4
19,2015,NP,NP2,4
19.2,2024,PP,PP3,12
18,2000,PP,PP1,3
15.9,2024,PP,PP3,1
16.1,2024,PP,PP3,1
18.1,2025,PP,PP3,1
15.8,2024,NP,NP5,1
16,1999,PJ,PJ4,3
21,2015,NP,NP2,4
17,1999,PJ,PJ2,2
13.8,2024,PP,PP3,1
16.4,2025,PP,PP1,1
18.2,2025,PP,PP3,1
15,2000,PJ,PJ2,2
16,2015,NP,NP1,4
17.1,2024,PP,PP3,12
13.5,2024,NP,NP3,12
15.3,2025,NP,NP1,12
16.6,2025,PP,PP1,1
16,1999,PP,PP3,3
19,2004,PJ,PJ1,4
19.5,2015,NP,NP1,4
20,2003,PJ,PJ5,4
15,2006,PJ,PJ2,1
18,2015,NP,NP2,4
20,2001,PJ,PJ1,2
15,2001,PJ,PJ2,2
16,2000,PJ,PJ2,2
15,2024,NP,NP5,12
19.2,2024,PP,PP3,1
15,2025,PP,PP3,1
15.8,2024,PP,PP3,12
16,2004,PJ,PJ1,4
18,2015,NP,NP1,4
15.6,2025,PP,PP1,1
17,2003,PJ,PJ5,4
19,2005,PJ,PJ1,4
17.2,2025,PP,PP1,1
21,2003,PJ,PJ5,4
18,1999,PJ,PJ4,3
17,2004,PJ,PJ1,4
15,2024,PP,PP3,12
19.1,2025,PP,PP1,1
14.4,2025,PP,PP3,1
16.6,2025,PP,PP1,1
16,2002,PJ,PJ3,3
17.1,2024,PP,PP3,1
15,2000,PJ,PJ2,3
21,2000,PJ,PJ2,2
14.9,2024,PP,PP3,12
17.9,2025,PP,PP1,1
16.5,2025,PP,PP1,1
18,2015,NP,NP1,4
17.2,2025,PP,PP3,1
17,2025,PP,PP1,1
15,2018,PP,PP1,3
15,2024,NP,NP3,1
14,2015,NP,NP1,4
16.7,2024,PP,PP3,12
17,2025,PP,PP1,1
16,2015,NP,NP1,4
18,2015,NP,NP2,4
16,2018,PP,PP1,3
17.8,2024,PP,PP3,12
16.9,2025,PP,PP1,1
14,2024,NP,NP3,1
16,2025,PP,PP3,1
16.5,2025,PP,PP3,1
18,2015,NP,NP2,4
16,1999,PJ,PJ1,3
18,2018,PP,PP1,3
19,2006,PJ,PJ1,1
20,2005,PJ,PJ1,4
12.8,2025,PP,PP1,1
16,2018,PP,PP1,3
15.5,2025,PP,PP1,1
16.5,2025,PP,PP3,1
16,2000,PJ,PJ2,3
14,2015,NP,NP2,4
13.4,2023,NP,NP3,1
17,2025,PP,PP3,1
15,2018,PP,PP1,3
16.4,2025,PP,PP1,1
16,2015,NP,NP2,4
13.9,2025,PP,PP3,1
17,2018,PP,PP1,3
15,2001,PJ,PJ2,3
14.7,2025,PP,PP1,1
16,2002,PJ,PJ2,3
17,2018,PP,PP1,3
16,2015,NP,NP2,4
13.8,2023,NP,NP3,1
16.9,2025,PP,PP3,1
14.6,2025,PP,PP1,1
16,1999,PP,PP4,4
16,2015,NP,NP1,4
14.8,2025,PP,PP1,1
14.7,2025,PP,PP3,1
16,2018,PP,PP1,3
12.9,2025,PP,PP1,1
16.4,2025,PP,PP3,1
17,2015,NP,NP1,4
20,2018,PP,PP1,3
14.9,2025,PP,PP3,1
20,2015,NP,NP1,4
17,2015,NP,NP1,4
16,2000,PJ,PJ2,2
16,2015,NP,NP1,4
17,2015,NP,NP1,4
17,2015,NP,NP1,4
15,2015,NP,NP1,4
17,2001,PJ,PJ2,3
15,2001,PJ,PJ2,2
15,2000,PJ,PJ3,3
15.7,1999,PJ,PJ1,1
17,2001,PJ,PJ2,3
15,2001,PJ,PJ2,3
18,2000,PJ,PJ3,3
18,1999,PJ,PJ2,1
27,2011,PJ,PJ6,1
32,1999,PJ,PJ2,1
29,2021,PJ,PJ6,12
26,2007,PJ,PJ1,4
31,2008,PJ,PJ1,2
33,2006,PJ,PJ1,1
42,2011,PJ,PJ6,1
33,2010,PJ,PJ3,3
35.5,2009,PJ,PJ6,3
29.6,2025,NP,NP1,1
29.2,2025,NP,NP5,1
18.5,2020,PJ,PJ6,1
29.5,2020,PJ,PJ6,1
33,2006,PJ,PJ1,1
36,2005,PJ,PJ1,1
37,2004,PJ,PJ6,3
27,2012,PJ,PJ1,2
21.5,2021,PJ,PJ5,1
30,2013,PJ,PJ6,1
35,2013,PJ,PJ6,1
30,2020,PJ,PJ1,1
36,2012,PJ,PJ6,2
28,2021,PP,PP1,1
27,2020,PJ,PJ6,1
30.2,2024,NP,NP5,12
33,2013,PJ,PJ1,1
22,2021,PJ,PJ2,1
22.4,2024,PP,PP1,12
29.4,2024,NP,NP5,1
43.5,2020,PP,PP1,1
31,1999,PJ,PJ2,3
33,2013,PJ,PJ6,2
26.6,2024,NP,NP1,1
28.7,2022,PP,PP3,2
28,2006,PJ,PJ2,3
30,2006,PJ,PJ2,3
27.4,2024,NP,NP1,1
26,2013,PJ,PJ3,3
31,2005,PJ,PJ2,4
37,2011,PJ,PJ6,2
33,2001,PJ,PJ3,3
19.3,2020,NP,NP2,2
25.5,2020,PJ,PJ1,1
22,2002,PJ,PJ2,2
32,2013,PJ,PJ6,1
40,2020,PJ,PJ1,1
35,1999,PJ,PJ1,1
39,2001,PJ,PJ2,3
29.1,2019,PJ,PJ6,2
37.5,2020,PJ,PJ1,1
40,2003,PJ,PJ1,2
26,2010,PJ,PJ6,3
39,2006,PJ,PJ1,1
21,2006,PJ,PJ2,1
26,2007,PJ,PJ6,3
25.3,2022,PP,PP3,1
22.5,2019,PJ,PJ6,2
31,2023,NP,NP5,1
35,2012,PJ,PJ1,1
35,2012,PJ,PJ2,3
26,2006,PJ,PJ2,1
27.9,2020,PJ,PJ1,1
29,1999,PJ,PJ1,1
30,2006,PJ,PJ1,1
33.1,2020,PJ,PJ6,1
28.7,2025,NP,NP3,12
30,2023,PP,PP3,1
25,2012,PJ,PJ1,1
27.9,2022,NP,NP1,1
37.5,2019,PJ,PJ6,2
29,2003,PJ,PJ1,1
42,2003,PJ,PJ1,2
27.5,2024,NP,NP1,1
38,2008,PJ,PJ2,2
27,2005,PJ,PJ1,1
36,2011,PJ,PJ6,2
29,2008,PJ,PJ1,2
37,2011,PJ,PJ6,4
29.6,2025,NP,NP3,1
30,2006,PJ,PJ1,2
36,2003,PJ,PJ1,2
35,2012,PJ,PJ6,2
21,2011,PJ,PJ6,3
33,2011,PJ,PJ6,1
32,2013,PJ,PJ6,1
15,2007,PJ,PJ1,1
16,2007,PJ,PJ2,4
40,1999,PJ,PJ3,2
29,2012,PJ,PJ1,2
28,2013,PJ,PJ1,1
15.7,2022,PP,PP1,2
27,2020,PJ,PJ1,1
28.9,2023,NP,NP1,1
47,2020,PP,PP1,1
32,2020,NP,NP2,1
24,2020,PJ,PJ1,1
29,2007,PJ,PJ1,1
24,2020,PJ,PJ6,1
36,2013,PJ,PJ1,1
44,2006,PJ,PJ3,4
29.9,2023,NP,NP5,1
30,2011,PJ,PJ6,4
28,2005,PJ,PJ1,1
23,2013,PJ,PJ6,1
26.1,2024,NP,NP3,12
30,2007,PJ,PJ3,3
31,2006,PJ,PJ2,2
34,2006,PJ,PJ1,3
34,2003,PJ,PJ3,3
30,1999,PJ,PJ1,1
20.5,2023,NP,NP1,1
30.5,2020,PJ,PJ6,1
30,2006,PJ,PJ2,1
23,2010,PJ,PJ6,1
33,1999,PP,PP3,3
39,1999,PJ,PJ1,3
36.7,2020,PJ,PJ1,1
26.6,2024,NP,NP3,1
28.5,2020,PJ,PJ1,12
19,2007,PJ,PJ1,1
31,2011,PJ,PJ6,2
28.3,2022,NP,NP5,1
35,2006,PJ,PJ2,1
27.6,2020,PJ,PJ6,1
38,2000,PJ,PJ2,3
28,2007,PJ,PJ6,4
40,2001,PJ,PJ3,3
30,2011,PJ,PJ6,1
28,2006,PJ,PJ2,2
30,1999,PJ,PJ1,1
30.4,2019,PJ,PJ6,2
44.2,2022,NP,NP3,1
32,2010,PJ,PJ3,2
28.9,2024,NP,NP5,1
42,2003,PJ,PJ1,2
27.5,2023,NP,NP1,1
30,2011,PJ,PJ6,1
28.5,2022,NP,NP1,1
36.6,2007,PJ,PJ1,3
23.5,2024,NP,NP1,1
25,2020,PJ,PJ1,1
29.2,2025,NP,NP3,12
33.5,2020,PJ,PJ6,1
23,2011,PJ,PJ2,3
27.7,2023,NP,NP5,1
31,2006,PJ,PJ1,1
33,2006,PJ,PJ1,2
40,2009,PJ,PJ6,3
28,2012,PJ,PJ1,1
32,2012,PJ,PJ1,1
22,2020,PJ,PJ1,1
20.2,2023,NP,NP1,1
29.3,2021,PP,PP1,2
28.6,2025,NP,NP3,12
40,2005,PJ,PJ1,3
29,1999,PJ,PJ2,2
28.1,2024,NP,NP5,12
40,1999,PJ,PJ1,1
27,2022,NP,NP1,2
22,2006,PJ,PJ1,1
23,2006,PJ,PJ3,4
44.2,2022,NP,NP3,1
28.1,2024,NP,NP5,1
26.5,2020,PJ,PJ1,1
38,2003,PJ,PJ1,2
19.4,2024,PP,PP1,1
18.5,2021,PP,PP1,1
34,1999,PJ,PJ2,1
17,2006,PJ,PJ2,1
27,2006,PJ,PJ2,1
28.2,2023,NP,NP1,1
25.3,2024,NP,NP3,1
27.6,2025,NP,NP1,1
25.3,2021,NP,NP1,1
31,2012,PJ,PJ1,1
32,2011,PJ,PJ6,1
30.2,2024,PP,PP3,1
34,2007,PJ,PJ6,4
18,2007,PJ,PJ1,2
33,2011,PJ,PJ6,2
32,2006,PJ,PJ2,2
28.3,2023,NP,NP1,1
20,2006,PJ,PJ1,1
22.6,2021,NP,NP1,1
33,2006,PJ,PJ2,1
23,2002,PJ,PJ2,3
40,2003,PJ,PJ1,2
24.5,2020,PJ,PJ1,1
28,2002,PJ,PJ2,2
28.4,2024,PP,PP6,1
37,2000,PJ,PJ2,2
29,2020,PJ,PJ1,1
22.9,2021,NP,NP1,1
30,2011,PJ,PJ6,4
40.2,1999,PJ,PJ2,1
30,2003,PJ,PJ1,2
20,2006,PJ,PJ2,1
19.5,2023,NP,NP5,1
26,2024,NP,NP5,1
28.6,2025,NP,NP1,12
23.2,2021,PP,PP1,1
36,2005,PJ,PJ1,4
28,1999,PJ,PJ1,1
23.6,2022,NP,NP3,1
19,2006,PJ,PJ2,1
29,2006,PJ,PJ1,1
18,2006,PJ,PJ2,1
42,1999,PJ,PJ2,2
28.8,2024,NP,NP5,1
28.7,2023,NP,NP1,1
29,2006,PJ,PJ2,1
15,2018,PP,PP1,3
27,2010,PJ,PJ6,4
29,2010,PJ,PJ6,1
28,2024,NP,NP5,1
37,2003,PJ,PJ1,2
32,2006,PJ,PJ2,3
36,2011,PJ,PJ6,1
29,2007,PJ,PJ6,4
20.3,2023,NP,NP1,1
28.2,2020,PJ,PJ2,2
30,2011,PJ,PJ6,2
32,1999,PJ,PJ2,1
34,2003,PJ,PJ1,2
26,2007,PJ,PJ2,3
29.6,2025,NP,NP3,12
33,1999,PJ,PJ1,1
41,1999,PJ,PJ2,1
26.9,2025,NP,NP7,1
29.4,1999,PJ,PJ1,1
28.6,2023,NP,NP1,1
28,2010,PJ,PJ6,3
30,2006,PJ,PJ1,1
17,2006,PJ,PJ2,1
25.2,2024,NP,NP3,12
28.3,2025,NP,NP3,12
30,2006,PJ,PJ1,1
19.1,2023,NP,NP1,1
39,2010,PJ,PJ6,3
22,2006,PJ,PJ2,1
25.9,2024,NP,NP1,12
28.6,2023,NP,NP1,1
28,2006,PJ,PJ2,1
29,2006,PJ,PJ2,1
29,2012,PJ,PJ1,2
37,2000,PJ,PJ3,3
40,2005,PJ,PJ1,1
29.5,2024,NP,NP3,1
37,2006,PJ,PJ1,1
26.3,2025,NP,NP5,12
27.5,2024,NP,NP5,1
39,2006,PJ,PJ1,2
28.8,2023,NP,NP1,1
27.4,2023,NP,NP3,1
18,2006,PJ,PJ1,1
43,1999,PJ,PJ2,1
38,1999,PJ,PJ2,1
28,2007,PJ,PJ1,1
31,1999,PJ,PJ2,2
29,1999,PJ,PJ1,2
30,2005,PJ,PJ1,4
27.7,2024,NP,NP1,12
23,2018,PP,PP1,3
29,2024,NP,NP5,1
30,2006,PJ,PJ1,1
16,2006,PJ,PJ2,1
28,2013,NP,NP1,2
25.1,2025,NP,NP1,12
27.4,1999,PJ,PJ1,1
25.9,2022,NP,NP3,2
31,2006,PJ,PJ1,2
26,1999,PJ,PJ1,2
23.9,2025,NP,NP5,12
18.2,2023,NP,NP1,1
31,2003,PJ,PJ1,2
44,1999,PJ,PJ1,1
28.5,2024,NP,NP5,1
25.8,2024,NP,NP3,12
42,1999,PJ,PJ2,1
32,2006,PJ,PJ1,1
41,1999,PJ,PJ2,1
25,1999,PJ,PJ1,2
33,1999,PP,PP1,3
26.6,2025,NP,NP5,12
36,2005,PJ,PJ1,1
16,2006,PJ,PJ2,1
19,2006,PJ,PJ1,1
42,1999,PJ,PJ1,1
37,1999,PJ,PJ2,2
28,1999,PJ,PJ1,2
28.3,2024,NP,NP3,12
40,2003,PJ,PJ1,2
18,2025,NP,NP5,12
37,2002,PJ,PJ2,2
37,2005,PJ,PJ1,4
25,2006,PJ,PJ1,1
28.6,2024,NP,NP3,1
27,2006,PJ,PJ2,1
26.5,2024,NP,NP3,12
33,2005,PJ,PJ1,4
27,1999,PP,PP1,3
33,1999,PJ,PJ2,2
31,1999,PJ,PJ2,1
29,2024,NP,NP3,1
31,1999,PJ,PJ2,1
33,1999,PJ,PJ1,1
29,1999,PJ,PJ1,2
17,2006,PJ,PJ2,1
26.7,2024,NP,NP3,1
17,2018,PP,PP1,3
35,2002,PJ,PJ2,2
28,1999,PJ,PJ1,2
17,1999,PJ,PJ4,3
15,2006,PJ,PJ2,1
43,1999,PJ,PJ1,1
37,1999,PJ,PJ2,2
29,1999,PJ,PJ2,1
29,2006,PJ,PJ1,1
33,1999,PJ,PJ2,1
39,1999,PJ,PJ1,1
27,2006,PJ,PJ2,1
40,2002,PJ,PJ2,1
28.5,2024,NP,NP3,1
40,2001,PJ,PJ2,3
30,2006,PJ,PJ2,2
19.8,2023,NP,NP3,1
23,2006,PJ,PJ1,1
36,1999,PJ,PJ2,2
31,2006,PJ,PJ2,1
35,1999,PJ,PJ2,1
27.6,2024,NP,NP3,12
30,2006,PJ,PJ1,1
30,1999,PJ,PJ2,1
30,2006,PJ,PJ2,1
36,2006,PJ,PJ2,1
35,1999,PJ,PJ2,2
31,1999,PJ,PJ1,1
43,1999,PJ,PJ2,2
22,1999,PJ,PJ1,1
30,1999,PJ,PJ1,1
32,1999,PJ,PJ2,1
21,2006,PJ,PJ2,1
18,2006,PJ,PJ1,1
30,1999,PJ,PJ2,1
31,1999,PJ,PJ2,1
15,2018,PP,PP1,3
40,1999,PJ,PJ2,1
26,1999,PJ,PJ1,1
40,1999,PJ,PJ1,1
35,2006,PJ,PJ1,1
26,2006,PJ,PJ2,1
30,1999,PJ,PJ2,1
16,2006,PJ,PJ2,1
27,2006,PJ,PJ1,1
30,1999,PJ,PJ1,1
16,2006,PJ,PJ1,1
35,2006,PJ,PJ2,1
19,2006,PJ,PJ2,1
27,1999,PJ,PJ1,2
32,1999,PJ,PJ1,2
17,2006,PJ,PJ1,1
36,1999,PJ,PJ1,1
28,1999,PJ,PJ1,2
32,1999,PJ,PJ2,1
38,2000,PJ,PJ3,2
38,1999,PJ,PJ2,1
28,1999,PJ,PJ1,2
17,2005,PJ,PJ2,4
18,2006,PJ,PJ2,1
23,1999,PJ,PJ1,1
42,1999,PJ,PJ1,1
16,2006,PJ,PJ2,1
27,2006,PJ,PJ1,1
36,1999,PJ,PJ2,1
23,2006,PJ,PJ1,1
26,2006,PJ,PJ2,1
40,2001,PJ,PJ2,2
18,2006,PJ,PJ2,1
37,2006,PJ,PJ2,1
30,1999,PJ,PJ2,1
43,1999,PJ,PJ2,1
28,2006,PJ,PJ2,1
30,1999,PJ,PJ1,2
37,1999,PJ,PJ1,1
24,2000,PJ,PJ2,3
41,1999,PJ,PJ1,1
26,2006,PJ,PJ1,1
34,1999,PJ,PJ2,1
